onetsoccode,year,m_fsG_pct_physical,m_fsG_pct_cognitive,m_fsG_pct_sensory,m_fsG_pct_psychomotor,m_fsG_zavg_degree_cognitive,m_fsG_zavg_degree_psychomotor,m_fsG_zavg_degree_sensory,m_fsG_zavg_degree_physical,m_fsY_pct_physical,m_fsY_pct_cognitive,m_fsY_pct_sensory,m_fsY_pct_psychomotor,m_fsY_zavg_degree_cognitive,m_fsY_zavg_degree_psychomotor,m_fsY_zavg_degree_sensory,m_fsY_zavg_degree_physical,m_fsY2_salary,m_fsG2_salary
"51-4062.00",2017,.65355343,.017404158,.84165621,.80922198,.057276774,.003482247,.080728903,.050000001,.65486693,.017404158,.8484903,.81987137,.37560815,.028186006,.050000001,.64053702,.30338472,.31571496
"51-4071.00",2017,.75219715,.017198697,.78728539,.76819885,.077369705,.027793562,.080728903,.0035478866,.75408572,.017198697,.79405349,.77925289,.61678213,.64916486,.050000001,.050000001,.058213491,.060622945
"51-4072.00",2017,.64488119,.0209265,.82466072,.79600978,.070579126,.003482247,.080728903,.050000001,.64613014,.0209265,.83154708,.80683327,.54313517,.028186006,.050000001,.64053702,.058213491,.060622945
"51-4081.00",2017,.47533259,.035659079,.76697582,.84113711,.08784838,.0047013084,.080728903,.032729276,.47510728,.035659079,.77356315,.85117459,.71068436,.050000001,.050000001,.50099999,.070528783,.073586024
"51-4111.00",2017,.4012382,.1647186,.52530676,.70850652,.14514758,.0047013084,.080728903,.032729276,.40035871,.1647186,.52609617,.71951145,.93279231,.050000001,.050000001,.50099999,.2306716,.24154504
"51-4121.06",2017,.72138798,.020298107,.70032531,.80566651,.094897285,.0047013084,.080728903,.0035478866,.72313386,.020298107,.70586264,.81636703,.76099116,.050000001,.050000001,.050000001,.1210844,.12667006
"51-4121.07",2017,.73172575,.10572359,.050000001,.83890325,.044622768,.022287341,.75246763,.050000001,.73352391,.10572359,.045805991,.848993,.21225359,.54181921,.98559207,.64053702,.1210844,.12667006
"51-4122.00",2017,.69012821,.066568382,.60186797,.64283246,.13236128,.027793562,.080728903,.0035478866,.69169253,.066568382,.60495842,.6530813,.90916008,.64916486,.050000001,.050000001,.1210844,.12667006
"51-4191.00",2017,.61905056,.061030746,.76697582,.63867909,.093379594,.025464239,.080728903,.050000001,.62009746,.061030746,.77356315,.64885938,.75096524,.60768139,.050000001,.64053702,.085724816,.089549437
"51-4192.00",2017,.52573043,.021268792,.8722046,.83416116,.065407313,.027793562,.080728903,.032729276,.52596539,.021268792,.87874639,.84435689,.48091194,.64916486,.050000001,.50099999,.085724816,.089549437
"51-4193.00",2017,.65355343,.017404158,.84165621,.80922198,.057530187,.027793562,.080728903,.050000001,.65486693,.017404158,.8484903,.81987137,.3789686,.64916486,.050000001,.64053702,.085724816,.089549437
"51-4194.00",2017,.62762398,.051677745,.78728539,.65606833,.093402527,.022287341,.080728903,.050000001,.62873948,.051677745,.79405349,.66652042,.75111985,.54181921,.050000001,.64053702,.085724816,.089549437
"51-5111.00",2017,.091176145,.85247916,.031981152,.77034563,.083167225,.021796938,.75246763,.0018811321,.08944799,.85247916,.028841624,.7813881,.67169064,.53063309,.98559207,.022393797,.075852685,.079185188
"51-5112.00",2017,.58942389,.10572359,.050000001,.90487897,.047819532,.027793562,.75246763,.032729276,.59022421,.10572359,.045805991,.91271669,.25164652,.64916486,.98559207,.50099999,.075852685,.079185188
"51-5113.00",2017,.74455702,.011826524,.76697582,.84113711,.078027025,.0047013084,.080728903,.0035478866,.74641395,.011826524,.77356315,.85117459,.62338138,.050000001,.050000001,.050000001,.075852685,.079185188
"51-6011.00",2017,.62762398,.48253104,.01785055,.65606833,.097350426,.025464239,.75246763,.050000001,.62873948,.48253104,.015782434,.66652042,.77632111,.60768139,.98559207,.64053702,.022280199,.022926077
"51-6021.00",2017,.86363012,.027960217,.072715007,.88357109,.02327521,.023824181,.75246763,.0035478866,.86560667,.027960217,.067529924,.89231062,.033355217,.57508349,.98559207,.050000001,.022100933,.022742137
"51-6031.00",2017,.74029255,.089124486,.0548345,.85095161,.045100942,.025464239,.75246763,.050000001,.7421307,.089124486,.0504019,.86074167,.21800798,.60768139,.98559207,.64053702,.030815851,.031847533
"51-6041.00",2017,.85118788,.13974027,.21271458,.44919005,.025179133,.025653111,.75246763,.050000001,.85319746,.13974027,.20594652,.45446807,.042268343,.61125028,.98559207,.64053702,.031188997,.032233857
"51-6042.00",2017,.74455702,.03111521,.53379261,.77821749,.013104109,.01001539,.62556189,.032729276,.74641395,.03111521,.53484523,.78920883,.0057506063,.19177146,.95322692,.50099999,.031188997,.032233857
"51-6051.00",2017,.092694499,.021632031,.98965645,.92167461,6.5038989e-06,.0080226241,.049627218,2.7527262e-06,.090954199,.021632031,.99101812,.92865974,4.5029841e-13,.13225447,.018056575,4.4880057e-06,.05538233,.057673767
"51-6052.00",2017,.5707593,.51642573,.041691363,.57030267,.083122566,.017438803,.75246763,.032729276,.57139784,.51642573,.037948418,.5790633,.67129594,.41893214,.98559207,.50099999,.05538233,.057673767
"51-6061.00",2017,.52573043,.42587125,.0030485834,.89913291,.082339376,.0047013084,.88822281,.032729276,.52596539,.42587125,.0025452899,.9072324,.66430378,.050000001,.99791169,.50099999,.036046054,.037324041
"51-6062.00",2017,.50099999,.0209265,.82466072,.87232423,.074955851,.0047013084,.080728903,.032729276,.50099999,.0209265,.83154708,.88146794,.59173244,.050000001,.050000001,.50099999,.036046054,.037324041
"51-6063.00",2017,.6665988,.044169057,.29183295,.85645491,.023579413,.020079523,.62556189,.032729276,.668006,.044169057,.28614089,.86609304,.03468965,.48923963,.95322692,.50099999,.036046054,.037324041
"51-6064.00",2017,.61798185,.034041658,.066130146,.95943737,.033849444,.0047013084,.75246763,.032729276,.61902016,.034041658,.061200134,.96392089,.10069416,.050000001,.98559207,.50099999,.036046054,.037324041
"51-6091.00",2017,.58005011,.012026429,.93794519,.82627857,.055742234,.025464239,.080728903,.032729276,.58076972,.012026429,.94270486,.83663619,.35522789,.60768139,.050000001,.50099999,.077000275,.080323033
"51-6092.00",2017,.52573043,.81251425,.026935883,.33772361,.093680084,.03349473,.75246763,.032729276,.52596539,.81251425,.024148611,.3393583,.75298399,.73025376,.98559207,.50099999,.077000275,.080323033
"51-6093.00",2017,.64488119,.0209265,.82466072,.79600978,.072737157,.027793562,.080728903,.050000001,.64613014,.0209265,.83154708,.80683327,.56759638,.64916486,.050000001,.64053702,.077000275,.080323033
"51-7011.00",2017,.59361511,.034752909,.70032531,.80566651,.066948071,.0047013084,.080728903,.050000001,.59445113,.034752909,.70586264,.81636703,.49993932,.050000001,.050000001,.64053702,.073853649,.077094935
"51-7021.00",2017,.63623619,.043588657,.80652809,.67328328,.083896466,.023824181,.080728903,.050000001,.63741904,.043588657,.81339443,.68396312,.67807376,.57508349,.050000001,.64053702,.057538811,.059917022
"51-7031.00",2017,.50846177,.24355206,.64215082,.43847916,.10828043,.050000001,.083338425,.032729276,.5085392,.24355206,.64633858,.44341314,.83292943,.86081773,.053437077,.50099999,.13686985,.14354555
"51-7032.00",2017,.51703954,.077878155,.66842204,.72341186,.070466436,.022287341,.083338425,.032729276,.51719528,.077878155,.67325956,.73449212,.54183209,.54181921,.053437077,.50099999,.13686985,.14354555
"51-7041.00",2017,.81098753,.0036267214,.90964961,.86766636,.034905404,.003482247,.080728903,.0035478866,.81302154,.0036267214,.91540807,.87696415,.10983978,.028186006,.050000001,.050000001,.044127852,.04581086
"51-7042.00",2017,.75219715,.017198697,.78728539,.76819885,.066090807,.003482247,.080728903,.0035478866,.75408572,.017198697,.79405349,.77925289,.48939994,.028186006,.050000001,.050000001,.044127852,.04581086
"51-8011.00",2017,.02961861,.94382626,.14374733,.60944217,.073100731,.016593292,.62556189,8.8856877e-06,.028714785,.94382626,.1370189,.61907917,.57162303,.3948133,.95322692,.000020776286,.71919513,.7342301
"51-8012.00",2017,.44417608,.1138486,.67650503,.69188154,.11260087,.027793562,.080728903,.032729276,.44366968,.1138486,.68152982,.70275778,.85079557,.64916486,.050000001,.50099999,.71919513,.7342301
"51-8013.00",2017,.58524781,.041098826,.67650503,.79294068,.09006577,.0047013084,.080728903,.050000001,.5860123,.041098826,.68152982,.8037985,.72755915,.050000001,.050000001,.64053702,.71919513,.7342301
"51-8021.00",2017,.44417608,.06907966,.67650503,.79294068,.083241552,.0047013084,.080728903,.032729276,.44366968,.06907966,.68152982,.8037985,.67234647,.050000001,.050000001,.50099999,.37510997,.38920665
"51-8031.00",2017,.43670267,.20716181,.65206921,.55080998,.11341792,.024905713,.080728903,.032729276,.4361299,.20716181,.65650928,.55907905,.85392815,.59690696,.050000001,.50099999,.20414503,.21314043
"51-8091.00",2017,.64488119,.10738497,.82466072,.4209578,.059880085,.016593292,.080728903,.050000001,.64613014,.10738497,.83154708,.42532253,.40998229,.3948133,.050000001,.64053702,.43938321,.45467409
