onetsoccode,year,m_fsG_pct_physical,m_fsG_pct_cognitive,m_fsG_pct_sensory,m_fsG_pct_psychomotor,m_fsG_zavg_degree_cognitive,m_fsG_zavg_degree_psychomotor,m_fsG_zavg_degree_sensory,m_fsG_zavg_degree_physical,m_fsY_pct_physical,m_fsY_pct_cognitive,m_fsY_pct_sensory,m_fsY_pct_psychomotor,m_fsY_zavg_degree_cognitive,m_fsY_zavg_degree_psychomotor,m_fsY_zavg_degree_sensory,m_fsY_zavg_degree_physical,m_fsY2_salary,m_fsG2_salary
"27-1025.00",2018,.030793527,.90042073,.99973083,.014961191,3.4648036e-07,.0064636166,.42911908,4.7750000e-28,.026404049,.90174896,.99956036,.012716205,1.1689794e-14,.041579783,.25034091,0,.18170741,.19579755
"27-1026.00",2018,.67966926,.87052232,.083962291,.088502862,.4227435,.26150548,.93569136,.00074384094,.66854125,.87209707,.082105733,.080650799,.11098906,.68116152,.86542952,.50099999,.18170741,.19579755
"27-1027.00",2018,.95721912,3.5860689e-06,.99990112,.96987426,2.3698595e-07,.000043812001,.0071007246,.00012697624,.9576146,3.4878142e-06,.9998312,.9725771,5.3459303e-15,.00033106285,.0031924758,.050000001,.18170741,.19579755
"27-2011.00",2018,.87162954,.96366739,.093392335,.0080060922,.54225123,.00151851,.92281306,.00074384094,.86927795,.964293,.09092284,.0066532572,.25161117,.010408354,.84091884,.50099999,.40506443,.43265662
"27-2012.01",2018,.029072899,.99616122,.12001823,.10995653,.43559819,.26150548,.91181749,7.0387262e-13,.024885504,.99625427,.11566766,.10115647,.12211119,.68116152,.82056296,9.4326076e-16,.40506443,.43265662
"27-2012.02",2018,.030793527,.99873894,.072715007,.050000001,.75232148,.020547235,.9790796,.99960208,.026404049,.99877352,.071542054,.044495869,.70047444,.11960343,.95379764,1,.40506443,.43265662
"27-2012.03",2018,.01552014,.98211938,.034901153,.67057866,.73667461,.97297198,.9790796,.99903715,.013044779,.98246938,.035461057,.67112291,.66375691,.99485701,.95379764,1,.40506443,.43265662
"27-2012.04",2018,.033539262,.99993867,.15862221,.001619156,.62837166,.99892521,.9790796,.99993211,.028833257,.99994087,.15127958,.0012724877,.41166496,.9997828,.95379764,1,.40506443,.43265662
"27-2012.05",2018,.015316048,.9620055,.076882802,.73946589,.68622726,.080837153,.88893032,.99903715,.012868437,.96265376,.075463161,.74211949,.54312164,.35460517,.77978897,1,.40506443,.43265662
"27-2021.00",2018,.6665988,.1647186,.52530676,.46551576,.71370715,.68538302,.10562037,.00074384094,.65490311,.16524553,.49185923,.45891947,.60887492,.92624426,.050000001,.50099999,.14590243,.15757205
"27-2022.00",2018,.71360123,.77579767,.21124747,.083635613,.44111881,.37441772,.55467403,.00074384094,.70399582,.77789885,.19957709,.076030627,.1271497,.780882,.35602829,.50099999,.14590243,.15757205
